Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,City/State,Zip Code,Country,Reference,Category
02/28/2025,FOREIGN TRANSACTION FEE,0.83,"MIXY BAR
$31.11
FOREIGN TRANSACTION FEE",FOREIGN TRANSACTION FEE,,,,,'820250590412991053',Fees & Adjustments-Fees & Adjustments
02/28/2025,MIXY BAR            UNKNOWN,31.11,"RESTAURANT
MIXY BAR
UNKNOWN
RESTAURANTForeign Spend Amount: 226.00 CHINA YUAN RENMINBI Commission Amount:  Currency Exchange Rate: null",MIXY BAR            UNKNOWN,,,,,'320250590412991053',Other-Miscellaneous
02/27/2025,FOREIGN TRANSACTION FEE,0.33,"THE LANGHAM SHENZHEN
$12.54
FOREIGN TRANSACTION FEE",FOREIGN TRANSACTION FEE,,,,,'820250580385250209',Fees & Adjustments-Fees & Adjustments
02/27/2025,FOREIGN TRANSACTION FEE,0.82,"SHENZHENSHIHONGFENGHAOSHE
$30.55
FOREIGN TRANSACTION FEE",FOREIGN TRANSACTION FEE,,,,,'820250630526806966',Fees & Adjustments-Fees & Adjustments
02/27/2025,SHENZHENSHIHONGFENGHSHENZHEN,30.55,"LODGING
SHENZHENSHIHONGFENGHAOSHE
SHENZHEN
LODGINGForeign Spend Amount: 222.50 CHINA YUAN RENMINBI Commission Amount:  Currency Exchange Rate: null",SHENZHENSHIHONGFENGHSHENZHEN,,,,,'320250630526806966',Other-Miscellaneous
02/27/2025,THE LANGHAM SHENZHENSHENZHEN,12.54,"LODGING
THE LANGHAM SHENZHEN
SHENZHEN
LODGINGForeign Spend Amount: 90.95 CHINA YUAN RENMINBI Commission Amount:  Currency Exchange Rate: null",THE LANGHAM SHENZHENSHENZHEN,,,,,'320250580385250209',Other-Miscellaneous
02/24/2025,AGODA.COM           LONDON              GB,402.90,"######4U2Iv TRAVEL AGENCY
AGODA.COM
LONDON
GB
TRAVEL AGENCY",AGODA.COM           LONDON              GB,SUBMISSIONS USD,"UK
000",A0000,UNITED STATES,'320250580389249760',Travel-Travel Agencies
02/24/2025,AplPay AIRALO       SINGAPORE           SG,16.50,"NT_RPCO2BCS +6583029360
AplPay AIRALO
SINGAPORE
SG
+6583029360",AplPay AIRALO       SINGAPORE           SG,"79 ANSON ROAD
SINGAPORE",,079906,SINGAPORE,'320250550318021418',Business Services-Internet Services
02/24/2025,AplPay UBER TRIP    HTTPS://HELP.UBER.COHK,19.39,"2DWCEXE1    HELP.UBER.COM
AplPay UBER TRIP
HTTPS://HELP.UBER.COM
HK
HELP.UBER.COMForeign Spend Amount: 150.62 HONG KONG DOLLAR Commission Amount:  Currency Exchange Rate: null",AplPay UBER TRIP    HTTPS://HELP.UBER.COHK,"MR. TREUBLAAN 7
""AMSTERDAM, THE NETHERLANDS""",,1097 DP,NETHERLANDS,'320250550311635962',Transportation-Taxis & Coach
02/24/2025,FOREIGN TRANSACTION FEE,0.52,"AplPay UBER TRIP
$19.39
FOREIGN TRANSACTION FEE",FOREIGN TRANSACTION FEE,,,,,'820250550311635962',Fees & Adjustments-Fees & Adjustments
02/23/2025,AGODA.COM           LONDON              GB,156.33,"######4SH5i TRAVEL AGENCY
AGODA.COM
LONDON
GB
TRAVEL AGENCY",AGODA.COM           LONDON              GB,SUBMISSIONS USD,"UK
000",A0000,UNITED STATES,'320250570363465151',Travel-Travel Agencies
02/23/2025,AplPay UBER TRIP    HTTPS://HELP.UBER.COHK,1.29,"D6FZBMSQ    HELP.UBER.COM
AplPay UBER TRIP
HTTPS://HELP.UBER.COM
HK
HELP.UBER.COMForeign Spend Amount: 10.00 HONG KONG DOLLAR Commission Amount:  Currency Exchange Rate: null",AplPay UBER TRIP    HTTPS://HELP.UBER.COHK,"MR. TREUBLAAN 7
""AMSTERDAM, THE NETHERLANDS""",,1097 DP,NETHERLANDS,'320250540283236434',Transportation-Taxis & Coach
02/23/2025,AplPay UBER TRIP    HTTPS://HELP.UBER.COHK,18.06,"N52PBPBK    HELP.UBER.COM
AplPay UBER TRIP
HTTPS://HELP.UBER.COM
HK
HELP.UBER.COMForeign Spend Amount: 140.33 HONG KONG DOLLAR Commission Amount:  Currency Exchange Rate: null",AplPay UBER TRIP    HTTPS://HELP.UBER.COHK,"MR. TREUBLAAN 7
""AMSTERDAM, THE NETHERLANDS""",,1097 DP,NETHERLANDS,'320250540283227679',Transportation-Taxis & Coach
02/23/2025,AplPay UBER TRIP    HTTPS://HELP.UBER.COHK,19.96,"61S2TFDT    HELP.UBER.COM
AplPay UBER TRIP
HTTPS://HELP.UBER.COM
HK
HELP.UBER.COMForeign Spend Amount: 155.04 HONG KONG DOLLAR Commission Amount:  Currency Exchange Rate: null",AplPay UBER TRIP    HTTPS://HELP.UBER.COHK,"MR. TREUBLAAN 7
""AMSTERDAM, THE NETHERLANDS""",,1097 DP,NETHERLANDS,'320250540284675350',Transportation-Taxis & Coach
02/23/2025,EBENEEZER'S KEBABS &CENTRAL             HK,72.60,"042658      FAST FOOD RESTAURANT
EBENEEZER'S KEBABS & PIZZERIA
CENTRAL
HK
FAST FOOD RESTAURANTForeign Spend Amount: 564.00 HONG KONG DOLLAR Commission Amount:  Currency Exchange Rate: null",EBENEEZER'S KEBABS &CENTRAL             HK,"G/F 5 LAN KWAI FONG
CENTRAL",,,HONG KONG,'320250540296537236',Restaurant-Bar & Café
02/23/2025,FOREIGN TRANSACTION FEE,0.03,"AplPay UBER TRIP
$1.29
FOREIGN TRANSACTION FEE",FOREIGN TRANSACTION FEE,,,,,'820250540283236434',Fees & Adjustments-Fees & Adjustments
02/23/2025,FOREIGN TRANSACTION FEE,0.48,"AplPay UBER TRIP
$18.06
FOREIGN TRANSACTION FEE",FOREIGN TRANSACTION FEE,,,,,'820250540283227679',Fees & Adjustments-Fees & Adjustments
02/23/2025,FOREIGN TRANSACTION FEE,0.53,"AplPay UBER TRIP
$19.96
FOREIGN TRANSACTION FEE",FOREIGN TRANSACTION FEE,,,,,'820250540284675350',Fees & Adjustments-Fees & Adjustments
02/23/2025,FOREIGN TRANSACTION FEE,1.96,"EBENEEZER'S KEBABS & PIZZERIA
$72.60
FOREIGN TRANSACTION FEE",FOREIGN TRANSACTION FEE,,,,,'820250540296537236',Fees & Adjustments-Fees & Adjustments
02/22/2025,7-ELEVEN (0927)     CENTRAL             HK,8.75,"051266      GROCERY STORE
7-ELEVEN (0927)
CENTRAL
HK
Foreign Spend Amount: 68.00 HONG KONG DOLLAR Commission Amount:  Currency Exchange Rate: null",7-ELEVEN (0927)     CENTRAL             HK,"G/F CHEUNG HING COMMERCIAL BLDG
NO. 37 COCHRANE ST
CENTRAL",,,HONG KONG,'320250520227688345',Merchandise & Supplies-Groceries
02/22/2025,AGODA.COM           LONDON              GB,195.73,"######4QjZt TRAVEL AGENCY
AGODA.COM
LONDON
GB
TRAVEL AGENCY",AGODA.COM           LONDON              GB,SUBMISSIONS USD,"UK
000",A0000,UNITED STATES,'320250550326659981',Travel-Travel Agencies
02/22/2025,AplPay AIRALO       SINGAPORE           SG,1.32,"NT_ROOMYGPT +6583029360
AplPay AIRALO
SINGAPORE
SG
+6583029360",AplPay AIRALO       SINGAPORE           SG,"79 ANSON ROAD
SINGAPORE",,079906,SINGAPORE,'320250530271720311',Business Services-Internet Services
