date,source,description,amount,category,statementDescription,extendedDetails,foreignAmount,reference,country
2024-01-10,Amex Platinum,AplPay UBER TRIP    HTTPS://HELP.UBER.COAI,-4.87,Transportation-Taxis & Coach,AplPay UBER TRIP    HTTPS://HELP.UBER.COAI,P77F181Z HELP.UBER.COM | AplPay UBER TRIP | HTTPS://HELP.UBER.COM | AI | HELP.UBER.COM,700.00 JAPANESE YEN,'320240100765647960',NETHERLANDS
2024-01-10,Amex Platinum,AplPay UBER TRIP    HTTPS://HELP.UBER.COAI,-6.91,Transportation-Taxis & Coach,AplPay UBER TRIP    HTTPS://HELP.UBER.COAI,50EBDHPM HELP.UBER.COM | AplPay UBER TRIP | HTTPS://HELP.UBER.COM | AI | HELP.UBER.COM,1000.00 JAPANESE YEN,'320240110796551605',NETHERLANDS
2024-01-10,Amex Platinum,AplPay UBER TRIP    HTTPS://HELP.UBER.COAI,-10.44,Transportation-Taxis & Coach,AplPay UBER TRIP    HTTPS://HELP.UBER.COAI,EAN8B5JF HELP.UBER.COM | AplPay UBER TRIP | HTTPS://HELP.UBER.COM | AI | HELP.UBER.COM,1500.00 JAPANESE YEN,'320240100763885119',NETHERLANDS
2024-01-10,Amex Platinum,AplPay UBER TRIP    HTTPS://HELP.UBER.COAI,-14.62,Transportation-Taxis & Coach,AplPay UBER TRIP    HTTPS://HELP.UBER.COAI,26A4NH7S HELP.UBER.COM | AplPay UBER TRIP | HTTPS://HELP.UBER.COM | AI | HELP.UBER.COM,2100.00 JAPANESE YEN,'320240100763737459',NETHERLANDS
2024-01-10,Amex Platinum,AplPay UBER TRIP    HTTPS://HELP.UBER.COAI,-15.32,Transportation-Taxis & Coach,AplPay UBER TRIP    HTTPS://HELP.UBER.COAI,H9XF462A HELP.UBER.COM | AplPay UBER TRIP | HTTPS://HELP.UBER.COM | AI | HELP.UBER.COM,2200.00 JAPANESE YEN,'320240100765670930',NETHERLANDS
2024-01-10,Amex Platinum,AplPay UBER TRIP    HTTPS://HELP.UBER.COAI,-16.71,Transportation-Taxis & Coach,AplPay UBER TRIP    HTTPS://HELP.UBER.COAI,ETT4ZA9D HELP.UBER.COM | AplPay UBER TRIP | HTTPS://HELP.UBER.COM | AI | HELP.UBER.COM,2400.00 JAPANESE YEN,'320240100766534452',NETHERLANDS
2024-01-10,Amex Platinum,AplPay UBER TRIP    HTTPS://HELP.UBER.COAI,-20.47,Transportation-Taxis & Coach,AplPay UBER TRIP    HTTPS://HELP.UBER.COAI,9RV936YS HELP.UBER.COM | AplPay UBER TRIP | HTTPS://HELP.UBER.COM | AI | HELP.UBER.COM,2940.00 JAPANESE YEN,'320240100767268108',NETHERLANDS
2024-01-10,Amex Platinum,FAMILY MART         *                   JP,-2.17,Merchandise & Supplies-Groceries,FAMILY MART         *                   JP,MISC FOOD STORE | FAMILY MART JAPAN | * | JP | MISC FOOD STORE,314.00 JAPANESE YEN,'320240110798285123',JAPAN
2024-01-10,Amex Platinum,NIHONKOTSU MITAKADAITOKYO               JP,-4.13,Transportation-Taxis & Coach,NIHONKOTSU MITAKADAITOKYO               JP,461MZZZZZZZ 58506462800018 | NIHONKOTSU MITAKADAI2 | TOKYO | JP | 58506462800018,600.00 JAPANESE YEN,'320240120809500477',JAPAN
2024-01-10,Amex Platinum,OMAKASE             SHIBUYAKU           TO,-13.58,Merchandise & Supplies-Computer Supplies,OMAKASE             SHIBUYAKU           TO,NT_PLHDUXFO +81359310607 | OMAKASE | SHIBUYAKU | TO | +81359310607,1950.00 JAPANESE YEN,'320240100770010185',JAPAN
2024-01-10,Amex Platinum,OMAKASE             SHIBUYAKU           TO,-34.67,Merchandise & Supplies-Computer Supplies,OMAKASE             SHIBUYAKU           TO,NT_PLHVRMBS +81359310607 | OMAKASE | SHIBUYAKU | TO | +81359310607,4980.00 JAPANESE YEN,'320240100769458383',JAPAN
2024-01-10,Amex Platinum,RAKUTENPAY SG LOW   TOKYO               JP,-143.07,Restaurant-Bar & Café,RAKUTENPAY SG LOW   TOKYO               JP,580M8088805 56612633029231 | RAKUTENPAY SG LOW | TOKYO | JP | 56612633029231,20790.00 JAPANESE YEN,'320240170930614204',JAPAN
2024-01-10,Amex Platinum,RESTAURANT -MINATO-K*                   JP,-77.37,Travel-Lodging,RESTAURANT -MINATO-K*                   JP,015 LODGING | RESTAURANT -MINATO-KU TOKYO JAPAN | * | JP | LODGING,11200.00 JAPANESE YEN,'320240110798167563',JAPAN
2024-01-10,Amex Platinum,SBL GINZA           TOKYO               JP,-375.94,Merchandise & Supplies-General Retail,SBL GINZA           TOKYO               JP,410G4966451 05038624100018 | SBL GINZA | TOKYO | JP | 05038624100018,54000.00 JAPANESE YEN,'320240100762377944',JAPAN
2024-01-10,Amex Platinum,SBL GINZA           TOKYO               JP,-556.95,Merchandise & Supplies-General Retail,SBL GINZA           TOKYO               JP,410G4966451 05038624100018 | SBL GINZA | TOKYO | JP | 05038624100018,80000.00 JAPANESE YEN,'320240100762389512',JAPAN
