date,source,description,amount,category,statementDescription,extendedDetails,foreignAmount,reference,country
2024-01-12,Amex Platinum,ANTLER              TOKYO               JP,-83.14,Restaurant-Restaurant,ANTLER              TOKYO               JP,417MXI49265 21957727817731 | ANTLER | TOKYO | JP | 21957727817731,12000.00 JAPANESE YEN,'320240140875241115',JAPAN
2024-01-12,Amex Platinum,APAHOTEL ROPPONGISIXTOKYO               JP,-62.35,Travel-Lodging,APAHOTEL ROPPONGISIXTOKYO               JP,417MXO71111 42913306500018 | APAHOTEL ROPPONGISIX | TOKYO | JP | 42913306500018,9000.00 JAPANESE YEN,'320240140875222852',JAPAN
2024-01-12,Amex Platinum,AplPay UBER TRIP    HTTPS://HELP.UBER.COAI,-6.88,Transportation-Taxis & Coach,AplPay UBER TRIP    HTTPS://HELP.UBER.COAI,C4YEVBCQ HELP.UBER.COM | AplPay UBER TRIP | HTTPS://HELP.UBER.COM | AI | HELP.UBER.COM,1000.00 JAPANESE YEN,'320240120812456908',NETHERLANDS
2024-01-12,Amex Platinum,AplPay UBER TRIP    HTTPS://HELP.UBER.COAI,-17.21,Transportation-Taxis & Coach,AplPay UBER TRIP    HTTPS://HELP.UBER.COAI,5WRH48HM HELP.UBER.COM | AplPay UBER TRIP | HTTPS://HELP.UBER.COM | AI | HELP.UBER.COM,2500.00 JAPANESE YEN,'320240120814903095',NETHERLANDS
2024-01-12,Amex Platinum,COFFEE BAR K        TOKYO               JP,-137.41,Restaurant-Bar & Café,COFFEE BAR K        TOKYO               JP,410G4966251 45676501800018 | COFFEE BAR K | TOKYO | JP | 45676501800018,19965.00 JAPANESE YEN,'320240120809514216',JAPAN
2024-01-12,Amex Platinum,GINZA SIX -CHUOH-KU *                   JP,-123.08,Merchandise & Supplies-General Retail,GINZA SIX -CHUOH-KU *                   JP,MISC/SPECIALTY RETAIL | GINZA SIX -CHUOH-KU TOKYO JAPAN | * | JP | MISC/SPECIALTY RETAIL,17765.00 JAPANESE YEN,'320240130850734313',JAPAN
2024-01-12,Amex Platinum,LITTLESMITH         TOKYO               JP,-91.45,Restaurant-Restaurant,LITTLESMITH         TOKYO               JP,580M 22118358200018 | LITTLESMITH | TOKYO | JP | 22118358200018,13200.00 JAPANESE YEN,'320240140875287455',JAPAN
2024-01-12,Amex Platinum,MIJAS AIR           TOKYO               JP,-95.97,Restaurant-Bar & Café,MIJAS AIR           TOKYO               JP,412G1C02100 04806970200885 | MIJAS AIR | TOKYO | JP | 04806970200885,13945.00 JAPANESE YEN,'320240120809474648',JAPAN
2024-01-12,Amex Platinum,RAKUTENPAY MORI BAR TOKYO               JP,-212.79,Restaurant-Bar & Café,RAKUTENPAY MORI BAR TOKYO               JP,180M8194175 56612633025320 | RAKUTENPAY MORI BAR GRAN | TOKYO | JP | 56612633025320,31300.00 JAPANESE YEN,'320240320285461224',JAPAN
2024-01-12,Amex Platinum,RARE WHISKY GINZA   TOKYO               JP,-257.03,Merchandise & Supplies-Groceries,RARE WHISKY GINZA   TOKYO               JP,580M 04887672307740 | RARE WHISKY GINZA | TOKYO | JP | 04887672307740,37100.00 JAPANESE YEN,'320240140875290065',JAPAN
2024-01-12,Amex Platinum,RIMOWA GINZA 7 CHOME*                   JP,-2029.93,Merchandise & Supplies-General Retail,RIMOWA GINZA 7 CHOME*                   JP,001 MISC/SPECIALTY RETAIL | RIMOWA GINZA 7 CHOME -CHUOH-KU | * | JP | MISC/SPECIALTY RETAIL,293000.00 JAPANESE YEN,'320240130845794245',JAPAN
2024-01-12,Amex Platinum,SHINANOYA GINZATEN  TOKYO               JP,-184.12,Merchandise & Supplies-Groceries,SHINANOYA GINZATEN  TOKYO               JP,461M 44738110000018 | SHINANOYA GINZATEN | TOKYO | JP | 44738110000018,26576.00 JAPANESE YEN,'320240140875247922',JAPAN
2024-01-12,Amex Platinum,SHOEI JIDOSHA       TOKYO               JP,-17.32,Transportation-Taxis & Coach,SHOEI JIDOSHA       TOKYO               JP,461MZZZZZZZ 62175023800018 | SHOEI JIDOSHA | TOKYO | JP | 62175023800018,2500.00 JAPANESE YEN,'320240140875218518',JAPAN
2024-01-12,Amex Platinum,TOKYOMUSEN          TOKYO               JP,-10.39,Transportation-Taxis & Coach,TOKYOMUSEN          TOKYO               JP,417MXR99661 32098754400695 | TOKYOMUSEN | TOKYO | JP | 32098754400695,1500.00 JAPANESE YEN,'320240140875218068',JAPAN
2024-01-12,Amex Platinum,YAMAYA GINZA        TOKYO               JP,-70.86,Merchandise & Supplies-Groceries,YAMAYA GINZA        TOKYO               JP,410G6304651 31061575001909 | YAMAYA GINZA | TOKYO | JP | 31061575001909,10296.00 JAPANESE YEN,'320240120809487612',JAPAN
