date,source,description,amount,category,statementDescription,extendedDetails,foreignAmount,reference,country
2024-04-25,Amex Platinum,BEUREONCHIBININGYEJEGYEONGGI-DO,-24.94,Restaurant-Restaurant,BEUREONCHIBININGYEJEGYEONGGI-DO,RESTAURANT | BEUREONCHIBININGYEJEOM | GYEONGGI-DO | RESTAURANT,34300.00 KOREAN (SOUTH) WON,'320241190409111444',"KOREA, REPUBLIC OF"
2024-04-25,Amex Platinum,Booze               GYEONGGI-DO,-63.98,Restaurant-Restaurant,Booze               GYEONGGI-DO,RESTAURANT | Booze | GYEONGGI-DO | RESTAURANT,88000.00 KOREAN (SOUTH) WON,'320241190410012117',"KOREA, REPUBLIC OF"
2024-04-25,Amex Platinum,HOTELEMSEUTOLI(HotelGYEONGGI-DO,-36.35,Travel-Lodging,HOTELEMSEUTOLI(HotelGYEONGGI-DO,LODGING | HOTELEMSEUTOLI(Hotel M Story) | GYEONGGI-DO | LODGING,50000.00 KOREAN (SOUTH) WON,'320241190410012986',"KOREA, REPUBLIC OF"
2024-04-25,Amex Platinum,JIESEU25INGYEOIYEOISGYEONGGI-DO,-0.73,Merchandise & Supplies-Groceries,JIESEU25INGYEOIYEOISGYEONGGI-DO,MISC FOOD STORE | JIESEU25INGYEOIYEOISOOLJEOM | GYEONGGI-DO | MISC FOOD STORE,1000.00 KOREAN (SOUTH) WON,'320241190409108605',"KOREA, REPUBLIC OF"
2024-04-25,Amex Platinum,JIESEU25INGYEOIYEOISGYEONGGI-DO,-1.42,Merchandise & Supplies-Groceries,JIESEU25INGYEOIYEOISGYEONGGI-DO,MISC FOOD STORE | JIESEU25INGYEOIYEOISOOLJEOM | GYEONGGI-DO | MISC FOOD STORE,1950.00 KOREAN (SOUTH) WON,'320241190410012896',"KOREA, REPUBLIC OF"
2024-04-25,Amex Platinum,KEOPISEUMISEU DEULAIGYEONGGI-DO,-3.34,Restaurant-Restaurant,KEOPISEUMISEU DEULAIGYEONGGI-DO,RESTAURANT | KEOPISEUMISEU DEULAIPEUTEU SOOUEONINGY | GYEONGGI-DO | RESTAURANT,4600.00 KOREAN (SOUTH) WON,'320241190409108470',"KOREA, REPUBLIC OF"
2024-04-25,Amex Platinum,KOKIPEOB            GYEONGGI-DO,-14.54,Restaurant-Restaurant,KOKIPEOB            GYEONGGI-DO,RESTAURANT | KOKIPEOB | GYEONGGI-DO | RESTAURANT,20000.00 KOREAN (SOUTH) WON,'320241190409108289',"KOREA, REPUBLIC OF"
2024-04-25,Amex Platinum,Outback Steakhouse KGYEONGGI-DO,-11.12,Restaurant-Restaurant,Outback Steakhouse KGYEONGGI-DO,RESTAURANT | Outback Steakhouse Korea Suwon Starfie | GYEONGGI-DO | RESTAURANT,15300.00 KOREAN (SOUTH) WON,'320241180384750905',"KOREA, REPUBLIC OF"
2024-04-25,Amex Platinum,SCK COMPANY         SEOUL,-3.27,Restaurant-Restaurant,SCK COMPANY         SEOUL,RESTAURANT | SCK COMPANY | SEOUL | RESTAURANT,4500.00 KOREAN (SOUTH) WON,'320241190409112026',"KOREA, REPUBLIC OF"
2024-04-25,Amex Platinum,SCK COMPANY         SEOUL,-4.44,Restaurant-Restaurant,SCK COMPANY         SEOUL,RESTAURANT | SCK COMPANY | SEOUL | RESTAURANT,6100.00 KOREAN (SOUTH) WON,'320241190409101775',"KOREA, REPUBLIC OF"
2024-04-25,Amex Platinum,TOOSSEOMPEULLEISEU SGYEONGGI-DO,-4,Restaurant-Restaurant,TOOSSEOMPEULLEISEU SGYEONGGI-DO,RESTAURANT | TOOSSEOMPEULLEISEU SOOUEONBOOKMOONJEOM | GYEONGGI-DO | RESTAURANT,5500.00 KOREAN (SOUTH) WON,'320241190409113079',"KOREA, REPUBLIC OF"
