date,source,description,amount,category,statementDescription,extendedDetails,foreignAmount,reference,country
2024-11-10,Amex Blue Sky,AplPay AIRALO       SINGAPORE           SG,-4.5,Business Services-Internet Services,AplPay AIRALO       SINGAPORE           SG,NT_RBMASKT6 +6583029360 | AplPay AIRALO | SINGAPORE | SG,,'320243140487657076',SINGAPORE
2024-11-10,Amex Blue Sky,AplPay AIRALO       SINGAPORE           SG,-9.9,Business Services-Internet Services,AplPay AIRALO       SINGAPORE           SG,NT_RBVGUXRP +6583029360 | AplPay AIRALO | SINGAPORE | SG | +6583029360,,'320243150527953128',SINGAPORE
2024-11-10,Amex Blue Sky,AplPay MC DONALDS   *                   JP,-4.6,Restaurant-Bar & Café,AplPay MC DONALDS   *                   JP,FAST FOOD RESTAURANT | AplPay MC DONALDS JAPAN | * | JP | FAST FOOD RESTAURANT,700.00 JAPANESE YEN,'320243160555079243',JAPAN
2024-11-10,Amex Blue Sky,AplPay SUSHI KYOTATSCHIBA               JP,-30.5,Restaurant-Restaurant,AplPay SUSHI KYOTATSCHIBA               JP,426MXO71134 32761081100018 | AplPay SUSHI KYOTATSU NARITA | CHIBA | JP | 32761081100018,4684.00 JAPANESE YEN,'320243170587929956',JAPAN
2024-11-10,Amex Blue Sky,FAMILY MART         *                   JP,-2.3,Merchandise & Supplies-Groceries,FAMILY MART         *                   JP,MISC FOOD STORE | FAMILY MART JAPAN | * | JP | MISC FOOD STORE,350.00 JAPANESE YEN,'320243160555054014',JAPAN
2024-11-10,Amex Blue Sky,FOREIGN TRANSACTION FEE,-0.06,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,FAMILY MART JAPAN | $2.30 | FOREIGN TRANSACTION FEE,,'820243160555054014',
2024-11-10,Amex Blue Sky,FOREIGN TRANSACTION FEE,-0.12,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,AplPay MC DONALDS JAPAN | $4.60 | FOREIGN TRANSACTION FEE,,'820243160555079243',
2024-11-10,Amex Blue Sky,FOREIGN TRANSACTION FEE,-0.36,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,GRAB | $13.35 | FOREIGN TRANSACTION FEE,,'820243150521258267',
2024-11-10,Amex Blue Sky,FOREIGN TRANSACTION FEE,-0.44,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,FUKKI SHIBADAIMON | $16.43 | FOREIGN TRANSACTION FEE,,'820243150536256105',
2024-11-10,Amex Blue Sky,FOREIGN TRANSACTION FEE,-0.82,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,AplPay SUSHI KYOTATSU NARITA | $30.50 | FOREIGN TRANSACTION FEE,,'820243170587929956',
2024-11-10,Amex Blue Sky,FUKKI SHIBADAIMON   TOKYO               JP,-16.43,Restaurant-Restaurant,FUKKI SHIBADAIMON   TOKYO               JP,412G3V40479 04921981600745 | FUKKI SHIBADAIMON | TOKYO | JP | 04921981600745,2500.00 JAPANESE YEN,'320243150536256105',JAPAN
2024-11-10,Amex Blue Sky,GRAB                BANGKOK             TH,-13.35,Transportation-Taxis & Coach,GRAB                BANGKOK             TH,3f1de852b35 TAXICAB & LIMOUSINE | GRAB | BANGKOK | TH | TAXICAB & LIMOUSINE,454.00 THAILAND BAHT,'320243150521258267',SINGAPORE
